_id,text,metadata
3394,What is the easiest way to back-test index funds and ETFs?,{}
5505,Can I deduct interest and fees on a loan for qualified medical expenses?,{}
6792,Where to find the full book of outstanding bids/asks for a stock?,{}
6909,Why do stocks priced above $2.00 on the ASX sometimes move in $0.005 increments?,{}
4946,Something looks off about Mitsubishi financial data,{}
4125,Alternative means of salary for my employees,{}
6009,Why can low volume move a stock price drastically?,{}
9598,How do index funds actually work?,{}
10645,Explain the details and benefits of rebalancing a retirement portfolio?,{}
7441,"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",{}
5080,Is there a standard or best practice way to handle money from an expiring UTMA account?,{}
9329,Interactive Brokers: IOPTS and list of structured products,{}
6479,Trading on exchanges or via brokerage companies?,{}
8513,Buy on dip when earnings fail?,{}
10109,Why does Charles Schwab have a Mandatory Settlement Period after selling stocks?,{}
4844,"How to read bond yield quotes? What do the time, coupon, price, yield, and time mean?",{}
8544,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,{}
4823,"Close to retirement & we may move within 7 years. Should we re-finance our mortgage, or not?",{}
1085,How do disputed debts work on credit reports?,{}
2388,Do financial advisors get better deals on mortgages?,{}
6891,What is the theory behind Rick Van Ness's risk calculation in the video about diversification?,{}
2568,How to pay with cash when car shopping?,{}
7702,Bond ETFs vs actual bonds,{}
2376,Why do gas stations charge different amounts in the same local area?,{}
4339,What could happen to Detroit Municipal bonds because of Detroit's filing for bankruptcy?,{}
5427,How do auto-loan payments factor into taxes for cars that are solely used by dependent(s)?,{}
7734,Can PE ratio of stocks be compared to other investments?,{}
2486,"Is working on a W2 basis, with benefits paid to me, a good idea?",{}
7071,ESPP strategy - Sell right away or hold?,{}
8537,What is an “Options Account”?,{}
7178,Should an ADR that is being delisted be sold off?,{}
4777,How to finance necessary repairs to our home in order to sell it?,{}
2398,Frustrated Landlord,{}
849,Accounting for reimbursements that exceed actual expenses,{}
7534,Can you explain why it's better to invest now rather than waiting for the market to dip?,{}
5021,"Is there a more flexible stock chart service, e.g. permitting choice of colours when comparing multiple stocks?",{}
6131,Is it ever a good idea to close credit cards?,{}
10136,How to minimise the risk of a reduction in purchase power in case of Brexit for money held in a bank account?,{}
9548,"How do I research, analyze, and choose the right mutual fund for a roth ira?",{}
4942,find stock composition of a publicly traded fund,{}
5090,Should I take a student loan to pursue my undergraduate studies in France?,{}
6005,Why might it be advisable to keep student debt vs. paying it off quickly?,{}
7533,Investing tax (savings),{}
8034,What is the average cost of a portfolio on a trading site?,{}
2330,How can I determine if a debt consolidation offer is real or a scam?,{}
7803,Can the Delta be used to calculate the option premium given a certain target?,{}
1933,UK sole trader who often buys products/services on behalf of clients – do I deduct from declared income or claim as allowable expenses?,{}
6849,What do the points in a stock market index epresent?,{}
7448,"If an index goes up because an underlying company issues more shares, what happens to the ETF",{}
42,What are the ins/outs of writing equipment purchases off as business expenses in a home based business?,{}
4102,How can I determine if my rate of return is “good” for the market I am in?,{}
7269,How do I track investment performance in Quicken across rollovers?,{}
10975,How to contribute to Roth IRA when income is at the maximum limit & you have employer-sponsored 401k plans?,{}
715,what would you do with $100K saving?,{}
4037,How separate individual expenses from family expenses in Gnucash?,{}
4047,Does doing your “research”/“homework” on stocks make any sense?,{}
8072,"What does it mean “sell on ask” , “sell on bid” in stocks?",{}
5906,0% APR first 12 months on new credit card. Can I exceed that 30% rule of thumb and not hurt my credit score?,{}
8378,Should I wait a few days to sell ESPP Stock?,{}
885,How long do credit cards keep working after you disappear?,{}
2423,At what age should I start or stop saving money?,{}
4414,Do high interest rates lead to higher bond yields or lower?,{}
1297,Why aren't there solutions for electronic itemized receipt for retail in-store purchases?,{}
8512,Is it possible to transfer stock I already own into my Roth IRA without having to sell the stock?,{}
3822,How to change a large quantity of U.S. dollars into Euros?,{}
859,"Any reason to keep around my account with my old, 'big' bank?",{}
6668,Approximate IT company valuation (to proximate stock options value),{}
604,"Is there a dollar amount that, when adding Massachusetts Sales Tax, precisely equals $200?",{}
3177,Vanguard ETF vs mutual fund,{}
721,What are “upstream investments” and “downstream investments” in this context?,{}
7124,How come we can find stocks with a Price-to-Book ratio less than 1?,{}
4500,What to ask Warren Buffet at the Berkshire Hathaway shareholder meeting?,{}
603,Will one’s education loan application be rejected if one doesn't have a payslip providing collateral?,{}
6647,What is meant by “priced in”?,{}
5369,Paying for things on credit and immediately paying them off: any help for credit rating?,{}
932,Is freelance income earned by a U.S. citizen while living abroad subject to state income tax?,{}
9633,Video recommendation for stock market education,{}
1676,W2 vs 1099 Employee status,{}
4804,How do financial services aimed at women differ from conventional services?,{}
2747,What evidence do I need to declare tutoring income on my income tax?,{}
8632,"Is it best to exercise options shares when they vest, or wait",{}
4981,Where can I find open source portfolio management software?,{}
6146,Lost credit card replaced with new card and new numbers. Credit score affected?,{}
10674,How to sell a stock in a crashing market?,{}
3683,Can I trust the Motley Fool?,{}
928,How can I determine if a FHA loan refinance offer is from a reputable lender,{}
5054,How to stress test an investment plan?,{}
6554,"Mutual fund value went down, shares went up, no action taken by me",{}
7377,What type of returns Vanguard is quoting?,{}
1309,Why does FlagStar Bank harass you about payments within grace period?,{}
8351,What happens when a calendar spread is assigned in a non-margin account?,{}
6441,Trading with Settled / Unsettled Funds (T+3),{}
4837,"When applying for a mortgage, can it also cover outstanding debts?",{}
9871,What should I do with the 50k I have sitting in a European bank?,{}
3067,Should I make extra payments to my under water mortgage or increase my savings?,{}
5741,Learning investing and the stock market,{}
3566,"Where can I buy stocks if I only want to invest a little bit at a time, and not really be involved in trading?",{}
5862,Can I get a discount on merchandise by paying with cash instead of credit?,{}
8779,How does a defined contribution plan work,{}
4714,Personal finance app where I can mark transactions as “reviewed”?,{}
7311,"Finance, Social Capital IPOA.U",{}
109,How to account for money earned and spent prior to establishing business bank accounts?,{}
570,Employer options when setting up 401k for employees,{}
6959,What is the term for the quantity (high price minus low price) for a stock?,{}
90,Filing personal with 1099s versus business s-corp?,{}
5064,How much should a graduate student attempt to save?,{}
4103,What causes US Treasury I bond fixed interest to increase?,{}
1198,What are the consequences of IRS “reclassification” on both employer and employee?,{}
4539,How should I save money if the real interest rate (after inflation) is negative?,{}
9391,Should I replace bonds in a passive investment strategy,{}
4600,"Why government bonds fluctuate so much, even though interest rates don't change that often?",{}
3735,Shorting Stocks And Margin Account Minimum,{}
5422,"What are some good books for learning stocks, bonds, derivatives e.t.c for beginner with a math background?",{}
744,What options are available for a home loan with poor credit but a good rental history?,{}
515,financial institution wants share member break down for single member LLC,{}
2443,What are some way to transfer money from Hong Kong to India on a monthly basis?,{}
4265,Does it make any sense to directly contribute to reducing the US national debt?,{}
4865,Why are historical prices of stocks different on different websites? Which one should I believe?,{}
2968,Should I prioritize retirement savings inside of my HSA?,{}
7221,How Technical Analysts react to non-market hours effects,{}
2407,How long to wait after getting a mortgage to increase my credit limit?,{}
3039,Can increasing my tax withholding from my full-time job cover FICA taxes for my freelance work?,{}
1748,"How high should I set my KickStarter funding goal in order to have $35,000 left over?",{}
10547,How much do brokerages pay exchanges per trade?,{}
10596,Does a market maker sell (buy) at a bid or ask price?,{}
5061,What fiscal scrutiny can be expected from IRS in early retirement?,{}
853,What will my taxes be as self employed?,{}
6803,What are the common moving averages used in a “Golden Cross” stock evaluation?,{}
6644,How to know precisely when a SWIFT is issued by a bank?,{}
699,Prepaid Rent (Accrual Based Accounting),{}
549,Where to request ACH Direct DEBIT of funds from MY OWN personal bank account?,{}
904,How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC's?,{}
2590,Are non-residents or foreigners permitted to buy or own shares of UK companies?,{}
1451,"How do you find an ethical, honest independent insurance broker in Canada?",{}
5790,FX losses on non-UK mortgage for UK property - tax deductable?,{}
7295,Selling non-dividend for dividend stocks,{}
5083,Co-signer deceased,{}
7936,Why naked call writing is risky compare to Covered call?,{}
8296,Can the beta of a stock be used as a lagging indicator for the stock w.r.t the market,{}
475,Do I need a new EIN since I am hiring employees for my LLC?,{}
3759,Simplifying money management,{}
4615,Are solar cell panels and wind mills worth the money?,{}
8874,When can you adjust for (and re-allow) a disallowed year-end (December) wash-sale loss?,{}
26,Applying for and receiving business credit,{}
3875,Does freedom to provide services allow me contracting in Germany without paying taxes there (but in my home EU country)?,{}
6835,Are bond ETF capital gains taxed similar to stock or stock funds if held for more than 1 year?,{}
4433,When should you use an actively managed mutual fund in a 401k?,{}
5374,What were the main causes of the spike and drop of DRYS's stock price?,{}
6221,"To pay off a student loan, should I save up a lump sum payoff payment or pay extra each month?",{}
672,Credit and Debit,{}
2593,Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?,{}
4019,How and Should I Invest (As a college 18 year old with minimal living expenses)?,{}
7205,Is it possible to see option prices from the past?,{}
6611,How does Vanguard determine the optimal asset allocation for their Target Retirement Funds?,{}
7911,What is the difference between a 'trader' and a 'stockbroker'?,{}
7463,Pros/cons of borrowing money using a mortgage loan and investing it in a low-fee index fund?,{}
4999,Looking for a good source for Financial Statements,{}
7344,How is the Dow divisor calculated?,{}
7705,Why would I pick a specific ETF over an equivalent Mutual Fund?,{}
1815,Rules for SEP contributions in an LLC?,{}
7467,Stocks are traded on secondary markets?,{}
8013,Frequency of investments to maximise returns (and minimise fees),{}
1415,I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?,{}
7758,Bid/ask spreads for index funds,{}
1915,Should I pay a company who failed to collect VAT from me over 6 months ago?,{}
4415,How much is inflation?,{}
10482,Rollover into bond fund to do dollar cost averaging [duplicate],{}
2296,How does a bank make money on an interest free secured loan?,{}
6787,"Would it make sense to sell a stock, then repurchase it for tax purposes?",{}
2857,"I have around 60K $. Thinking about investing in Oil, how to proceed?",{}
753,Taxes due for hobbyist Group Buy,{}
2676,Tax question about selling a car,{}
7456,What is market order's relation to bid ask spread?,{}
2579,What to do when a job offer is made but with a salary less than what was asked for?,{}
687,Online tool to connect to my bank account and tell me what I spend in different categories?,{}
2445,How do I notify the IRS of a new member to an LLC?,{}
2885,Merits of buying apartment houses and renting them,{}
5264,Does a company's stock price give any indication to or affect their revenue?,{}
7633,Can a trade happen “in between” the bid and ask price?,{}
9291,Are there any consequences for investing in Vanguard's Admiral Shares funds instead of ETF's in a Roth IRA?,{}
4640,What can my relatives do to minimize their out of pocket expenses on their fathers estate,{}
939,How to correct a tax return filed electronically and already approved?,{}
1306,"I made an investment with a company that contacted me, was it safe?",{}
8475,Why I cannot find a “Pure Cash” option in 401k investments?,{}
6807,How to incorporate dividends while calculating annual return of a Stock,{}
5228,How does the bank/IRS know whether a bank transfer over $14k is a gift or loan repayment?,{}
2856,How can I cash out a check internationally?,{}
3791,"""When people say 'Interest rates are at all time low!"""" … Which interest rate are they actually referring to?""",{}
4514,"What intrinsic, non-monetary value does gold have as a commodity?",{}
6122,Better to rent condo to daughter or put her on title?,{}
8832,Is it possible to buy commodity ETFs (e.g. silver) through Questrade?,{}
7145,Are there “buy and hold” passively managed funds?,{}
7674,Choosing the limit when making a limit order?,{}
8202,What accounted for DXJR's huge drop in stock price?,{}
3682,Short selling - lender's motivation,{}
3446,What's the difference between Term and Whole Life insurance?,{}
7592,few question about debit credit and liabilities,{}
6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)”,{}
2264,Personal Tax Return software for Linux?,{}
6121,What are my best options if I don't have a lot of credit lines for housing loans?,{}
3453,How does spot-futures arbitrage work in the gold market?,{}
6985,"Bed and Breakfast, Same Day Capital Gains UK",{}
2181,What are the risks & rewards of being a self-employed independent contractor / consultant vs. being a permanent employee?,{}
8532,What do these options trading terms mean?,{}
4312,Is it true that 90% of investors lose their money?,{}
9108,"Starting an investment portfolio with Rs 5,000/-",{}
8116,A-B-C Class Shares: What's the difference?,{}
9403,Abundance of Cash - What should I do?,{}
776,"Can saving/investing 15% of your income starting age 25, likely make you a millionaire?",{}
6199,How can all these countries owe so much money?  Why & where did they borrow it from?,{}
1393,"Which is better when working as a contractor, 1099 or incorporating?",{}
9668,Do stock option prices predicate the underlying stock's movement?,{}
