_id,text,metadata,text_length
3394,What is the easiest way to back-test index funds and ETFs?,{},11
5505,Can I deduct interest and fees on a loan for qualified medical expenses?,{},13
6792,Where to find the full book of outstanding bids/asks for a stock?,{},12
6909,Why do stocks priced above $2.00 on the ASX sometimes move in $0.005 increments?,{},14
4946,Something looks off about Mitsubishi financial data,{},7
4125,Alternative means of salary for my employees,{},7
6009,Why can low volume move a stock price drastically?,{},9
9598,How do index funds actually work?,{},6
10645,Explain the details and benefits of rebalancing a retirement portfolio?,{},10
7441,"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",{},20
5080,Is there a standard or best practice way to handle money from an expiring UTMA account?,{},16
9329,Interactive Brokers: IOPTS and list of structured products,{},8
6479,Trading on exchanges or via brokerage companies?,{},7
8513,Buy on dip when earnings fail?,{},6
10109,Why does Charles Schwab have a Mandatory Settlement Period after selling stocks?,{},12
4844,"How to read bond yield quotes? What do the time, coupon, price, yield, and time mean?",{},16
8544,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,{},15
4823,"Close to retirement & we may move within 7 years. Should we re-finance our mortgage, or not?",{},17
1085,How do disputed debts work on credit reports?,{},8
2388,Do financial advisors get better deals on mortgages?,{},8
6891,What is the theory behind Rick Van Ness's risk calculation in the video about diversification?,{},15
2568,How to pay with cash when car shopping?,{},8
7702,Bond ETFs vs actual bonds,{},5
2376,Why do gas stations charge different amounts in the same local area?,{},12
4339,What could happen to Detroit Municipal bonds because of Detroit's filing for bankruptcy?,{},13
5427,How do auto-loan payments factor into taxes for cars that are solely used by dependent(s)?,{},15
7734,Can PE ratio of stocks be compared to other investments?,{},10
2486,"Is working on a W2 basis, with benefits paid to me, a good idea?",{},14
7071,ESPP strategy - Sell right away or hold?,{},8
8537,What is an “Options Account”?,{},5
7178,Should an ADR that is being delisted be sold off?,{},10
4777,How to finance necessary repairs to our home in order to sell it?,{},13
2398,Frustrated Landlord,{},2
849,Accounting for reimbursements that exceed actual expenses,{},7
7534,Can you explain why it's better to invest now rather than waiting for the market to dip?,{},17
5021,"Is there a more flexible stock chart service, e.g. permitting choice of colours when comparing multiple stocks?",{},17
6131,Is it ever a good idea to close credit cards?,{},10
10136,How to minimise the risk of a reduction in purchase power in case of Brexit for money held in a bank account?,{},22
9548,"How do I research, analyze, and choose the right mutual fund for a roth ira?",{},15
4942,find stock composition of a publicly traded fund,{},8
5090,Should I take a student loan to pursue my undergraduate studies in France?,{},13
6005,Why might it be advisable to keep student debt vs. paying it off quickly?,{},14
7533,Investing tax (savings),{},3
8034,What is the average cost of a portfolio on a trading site?,{},12
2330,How can I determine if a debt consolidation offer is real or a scam?,{},14
7803,Can the Delta be used to calculate the option premium given a certain target?,{},14
1933,UK sole trader who often buys products/services on behalf of clients – do I deduct from declared income or claim as allowable expenses?,{},23
6849,What do the points in a stock market index epresent?,{},10
7448,"If an index goes up because an underlying company issues more shares, what happens to the ETF",{},17
42,What are the ins/outs of writing equipment purchases off as business expenses in a home based business?,{},17
4102,How can I determine if my rate of return is “good” for the market I am in?,{},17
7269,How do I track investment performance in Quicken across rollovers?,{},10
10975,How to contribute to Roth IRA when income is at the maximum limit & you have employer-sponsored 401k plans?,{},19
715,what would you do with $100K saving?,{},7
4037,How separate individual expenses from family expenses in Gnucash?,{},9
4047,Does doing your “research”/“homework” on stocks make any sense?,{},9
8072,"What does it mean “sell on ask” , “sell on bid” in stocks?",{},13
5906,0% APR first 12 months on new credit card. Can I exceed that 30% rule of thumb and not hurt my credit score?,{},23
8378,Should I wait a few days to sell ESPP Stock?,{},10
885,How long do credit cards keep working after you disappear?,{},10
2423,At what age should I start or stop saving money?,{},10
4414,Do high interest rates lead to higher bond yields or lower?,{},11
1297,Why aren't there solutions for electronic itemized receipt for retail in-store purchases?,{},12
8512,Is it possible to transfer stock I already own into my Roth IRA without having to sell the stock?,{},19
3822,How to change a large quantity of U.S. dollars into Euros?,{},11
859,"Any reason to keep around my account with my old, 'big' bank?",{},12
6668,Approximate IT company valuation (to proximate stock options value),{},9
604,"Is there a dollar amount that, when adding Massachusetts Sales Tax, precisely equals $200?",{},14
3177,Vanguard ETF vs mutual fund,{},5
721,What are “upstream investments” and “downstream investments” in this context?,{},10
7124,How come we can find stocks with a Price-to-Book ratio less than 1?,{},13
4500,What to ask Warren Buffet at the Berkshire Hathaway shareholder meeting?,{},11
603,Will one’s education loan application be rejected if one doesn't have a payslip providing collateral?,{},15
6647,What is meant by “priced in”?,{},6
5369,Paying for things on credit and immediately paying them off: any help for credit rating?,{},15
932,Is freelance income earned by a U.S. citizen while living abroad subject to state income tax?,{},16
9633,Video recommendation for stock market education,{},6
1676,W2 vs 1099 Employee status,{},5
4804,How do financial services aimed at women differ from conventional services?,{},11
2747,What evidence do I need to declare tutoring income on my income tax?,{},13
8632,"Is it best to exercise options shares when they vest, or wait",{},12
4981,Where can I find open source portfolio management software?,{},9
6146,Lost credit card replaced with new card and new numbers. Credit score affected?,{},13
10674,How to sell a stock in a crashing market?,{},9
3683,Can I trust the Motley Fool?,{},6
928,How can I determine if a FHA loan refinance offer is from a reputable lender,{},15
5054,How to stress test an investment plan?,{},7
6554,"Mutual fund value went down, shares went up, no action taken by me",{},13
7377,What type of returns Vanguard is quoting?,{},7
