Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP,method,model,alpha
0.7733333333333333,0.4966666666666666,,0.2126666666666666,0.4226267806267806,0.6705985958485958,,0.8484891127391128,0.7733333333333333,0.7404003260824616,,0.7831242295808482,0.7296737495191907,SBERT_puro,MPNet,
0.67,0.37,0.252,0.1303333333333333,0.4891388888888889,0.6723055555555555,0.7216944444444444,0.7366666666666667,0.67,0.7043643251190487,0.706841083718497,0.7044907699816462,0.6831801587301588,log_weighted,MPNet,0.05
0.67,0.37,0.252,0.1303333333333333,0.4891388888888889,0.6723055555555555,0.7216944444444444,0.7366666666666667,0.67,0.7037492080416677,0.706225966641116,0.7038756529042653,0.6826246031746032,linear_combo,MPNet,0.05
0.6666666666666666,0.3655555555555555,0.2466666666666666,0.1303333333333333,0.4884722222222223,0.6650833333333332,0.7119722222222222,0.7366666666666667,0.6666666666666666,0.7031340909642868,0.7085667712842121,0.6969153400462941,0.6749579365079366,geometric_mean,MPNet,0.05
0.64,0.35,0.24,0.1303333333333333,0.4596944444444444,0.6363055555555555,0.6949722222222222,0.7366666666666667,0.64,0.6858523072202392,0.6900736292588461,0.6806864607758564,0.6481583333333333,linear_combo,MiniLM,0.1
0.6333333333333333,0.3511111111111111,0.2393333333333333,0.1303333333333333,0.4535833333333333,0.6406388888888889,0.6944166666666667,0.7366666666666667,0.6333333333333333,0.6891856405535726,0.692660244286491,0.6830492830096201,0.6466080687830688,log_weighted,MiniLM,0.05
0.6366666666666667,0.3444444444444444,0.236,0.1303333333333333,0.4563611111111111,0.6289722222222222,0.6871944444444444,0.7366666666666667,0.6366666666666667,0.6858523072202393,0.6899635646059004,0.6757446738675742,0.6409486772486772,geometric_mean,MiniLM,0.05
0.68,0.4122222222222222,,0.184,0.3620712250712251,0.5503671143671144,,0.7317735042735042,0.68,0.6239492038150659,,0.6689798221508084,0.6114284824685992,SBERT_puro,MiniLM,
0.5766666666666667,0.3355555555555555,0.2333333333333333,0.1303333333333333,0.4118055555555555,0.6120277777777777,0.6784722222222223,0.7366666666666667,0.5766666666666667,0.6052382530154339,0.6274198522092508,0.6500579027055813,0.609262433862434,multiplicative,MPNet,
0.5566666666666666,0.3288888888888888,0.2306666666666667,0.1303333333333333,0.3930277777777777,0.600361111111111,0.6680277777777778,0.7366666666666667,0.5566666666666666,0.5865923584961503,0.6096223802192676,0.6357665837317258,0.5896941798941799,multiplicative,MiniLM,
0.45,0.3555555555555555,0.2473333333333333,0.1303333333333333,0.3035833333333333,0.6509166666666666,0.7103055555555555,0.7366666666666667,0.45,0.589142204765875,0.6100407467030234,0.6201246195472309,0.5736708994708994,max_score,MPNet,
0.45,0.3444444444444444,0.2393333333333333,0.1303333333333333,0.3035833333333333,0.6285277777777778,0.6955277777777776,0.7366666666666667,0.45,0.5735674336703308,0.5962693316506429,0.6126774557533001,0.5616861111111111,max_score,MiniLM,
0.673,0.371,,0.13,0.369,0.506,,0.553,0.673,0.703,,0.703,0.517,BM25 + MPNet,MPNet,
0.64,0.35,,0.13,0.35,0.485,,0.553,0.64,0.688,,0.682,0.494,BM25 + MiniLM,MiniLM,
