,BM25_lemmatize,SBERT_MiniLM,SBERT_MPNet
Precision@1,0.45,0.68,0.7733333333333333
Recall@1,0.23612281237281238,0.3620712250712251,0.4226267806267806
nDCG@1,0.45,0.68,0.7733333333333333
Precision@3,0.2888888888888889,0.4122222222222222,0.4966666666666666
Recall@3,0.41281552706552704,0.5503671143671144,0.6705985958485958
nDCG@3,0.44023950786526,0.6239492038150659,0.7404003260824616
Precision@10,0.13033333333333333,0.184,0.21266666666666667
Recall@10,0.552623321123321,0.7317735042735042,0.8484891127391128
nDCG@10,0.47858448716718943,0.6689798221508084,0.7831242295808482
MAP,0.39686346795840843,0.6114284824685992,0.7296737495191907
