,BM25_lemmatize,SBERT_MiniLM,SBERT_MPNet,BM25 + MiniLM,BM25 + MPNet
Precision@1,0.45,0.68,0.7733333333333333,0.64,0.673
Recall@1,0.2361228123728123,0.3620712250712251,0.4226267806267806,0.35,0.369
nDCG@1,0.45,0.68,0.7733333333333333,0.64,0.673
Precision@3,0.2888888888888889,0.4122222222222222,0.4966666666666666,0.35,0.371
Recall@3,0.412815527065527,0.5503671143671144,0.6705985958485958,0.485,0.506
nDCG@3,0.44023950786526,0.6239492038150659,0.7404003260824616,0.688,0.703
Precision@10,0.1303333333333333,0.184,0.2126666666666666,0.13,0.13
Recall@10,0.552623321123321,0.7317735042735042,0.8484891127391128,0.553,0.553
nDCG@10,0.4785844871671894,0.6689798221508084,0.7831242295808482,0.682,0.703
MAP,0.3968634679584084,0.6114284824685992,0.7296737495191907,0.494,0.517
